Tool,EntryType,Data,Action
ninja,domain,ninjarmm.com,allow
ninja,domain,ninjarmm.net,allow
ninja,domain,rmmservice.com,allow
ninja,domain,ninjauploads.s2.amazonaws.com,allow
ninja,domain,ingest.sentry.io,allow
ninja,domain,rmmservice.eu,allow
ninja,domain,rmmservice.com.au,allow
ninja,domain,rmmservice.ca,allow
ninja,domain,ninja-backup.com,allow
ninja,domain,lumension.com,allow
ninja,domain,patchlinksecure.net,allow
ninja,domain,cloudfront.net,allow
ninja,domain,heatsoftware.com,allow
ninja,ip,18.184.54.189,allow
ninja,ip,52.29.101.137,allow
ninja,ip,18.195.227.137,allow
ninja,ip,3.96.93.233,allow
ninja,ip,15.222.153.112,allow
ninja,ip,35.182.169.43,allow
ninja,ip,35.163.67.164,allow
ninja,ip,34.212.188.161,allow
ninja,ip,52.33.253.235,allow
ninja,ip,13.58.90.12,allow
ninja,ip,3.132.16.202,allow
ninja,ip,3.135.5.97,allow
ninja,ip,3.104.128.66,allow
ninja,ip,3.104.240.36,allow
ninja,ip,54.66.179.235,allow
action1,domain,action1.com,deny
action1,ip,54.210.188.13,deny
action1,ip,54.227.102.112,deny
action1,ip,3.210.54.212,deny
action1,ip,3.213.90.174,deny
action1,ip,3.74.63.86,deny
action1,ip,3.124.175.10,deny
action1,ip,34.203.184.16,deny
action1,ip,44.212.254.73,deny
action1,ip,52.200.246.160,deny
action1,ip,52.205.66.134,deny
action1,ip,100.24.103.37,deny
action1,ip,3.229.22.34,deny
action1,ip,3.88.244.142,deny
action1,ip,54.144.130.130,deny
action1,ip,18.135.32.225,deny
action1,ip,18.169.144.48,deny
action1,ip,3.10.103.241,deny
action1,ip,13.41.182.0.33,deny
action1,ip,35.179.20.122,deny
action1,ip,43.204.118.97,deny
action1,ip,43.204.185.8,deny
action1,ip,13.202.109.24,deny
action1,ip,43.205.156.38,deny
action1,ip,13.215.147.78,deny
action1,ip,54.169.182.56,deny
action1,ip,3.0.4.167,deny
action1,ip,13.213.228.50,deny
action1,ip,13.211.73.202,deny
action1,ip,54.79.23.166,deny
action1,ip,3.104.236.56,deny
action1,ip,54.79.198.20,deny
action1,ip,15.229.170.56,deny
action1,ip,18.230.233.136,deny
action1,ip,18.231.231.56,deny
action1,ip,54.207.116.27,deny
action1,ip,18.159.245.29,deny
action1,ip,18.195.232.61,deny
action1,ip,52.29.164.59,deny
action1,ip,13.238.191.59,deny
action1,ip,13.55.204.40,deny
action1,ip,3.104.0.1,deny
action1,ip,3.105.163.243,deny
action1,ip,us.remote.app.action1.com,deny
action1,ip,eu.remote.app.action1.com,deny
action1,ip,me.remote.app.action1.com,deny
action1,ip,ea.remote.app.action1.com,deny
action1,ip,au.remote.app.action1.com,deny
action1,ip,sa.remote.app.action1.com,deny
action1,ip,server.eu.action1.com,deny
action1,ip,server.au.action1.com,deny
action1,ip,a1-backend-packages.s3.amazonaws.com,deny
action1,ip,us-cdn.action1.com,deny
action1,ip,us-cdn-action1.com.b-cdn.net,deny
atera,domain,atera.com,deny
atera,domain,pubnub.com,deny
atera,domain,pndsn.com,deny
atera,domain,pubnubapi.com,deny
atera,domain,atera-agent-heartbeat-cus.servicebus.windows.net,deny
atera,domain,ticketingitemsstoreeu.blob.core.windows.net,deny
atera,domain,a32dl55qcodeech-ats.iot.eu-west-1.amazonaws.com,deny
anydesk,domain,anydesk.com,deny
anydesk,domain,net.anydesk.com,deny
anydesk,ip,239.255.102.18,deny
bluetrait,domain,bluetrait.io,deny
bluetrait,ip,103.24.132.0/23,deny
bluetrait,ip,103.209.4.0/23,deny
bluetrait,ip,14.200.218.138,deny
cwautomate,domain,hostedrmm.com,deny
cwautomate,ip,orderporter.com,deny
cwautomate,ip,40.71.90.166,deny
cwautomate,ip,40.114.52.148,deny
cwautomate,ip,13.70.91.208,deny
cwautomate,ip,13.75.178.225,deny
cwautomate,ip,52.178.181.175,deny
cwautomate,ip,40.69.194.171,deny
cwautomate,ip,40.71.89.108,deny
cwautomate,ip,40.114.54.41,deny
cwautomate,ip,168.62.213.148,deny
cwautomate,ip,23.99.61.241,deny
cwautomate,ip,167.89.70.61,deny
cwautomate,ip,50.31.33.121,deny
cwrmm,domain,itsupport247.net,deny
cwrmm,domain,agent.service.itsupport247.net,deny
cwrmm,domain,agent-data.service.itsupport247.net,deny
cwrmm,domain,cdn.itsupport247.net,deny
cwrmm,domain,update2itsupport247.net,deny
cwrmm,domain,update3itsupport247.net,deny
cwrmm,domain,agent-rollout.s3.us-east-1.amazonaws.com,deny
cwrmm,domain,euplatform.connectwise.com,deny
cwrmm,domain,agent.service.euplatform.connectwise.com,deny
cwrmm,domain,agent-data.service.euplatform.connectwise.com,deny
cwrmm,domain,cdn.euplatform.connectwise.com,deny
cwrmm,domain,update2.euplatform.connectwise.com,deny
cwrmm,domain,update3.euplatform.connectwise.com,deny
cwrmm,domain,agent-eu-rollout.s3.eu-west-1.amazonaws.com,deny
cwrmm,domain,auplatform.connectwise.com,deny
cwrmm,domain,agent-data.service.auplatform.connectwise.com,deny
cwrmm,domain,agent.service.auplatform.connectwise.com,deny
cwrmm,domain,cdn.auplatform.connectwise.com,deny
cwrmm,domain,update2itsupport247.net,deny
cwrmm,domain,update3.auplatform.connectwise.com,deny
cwrmm,domain,agent-au-rollout.s3.ap-southeast-2.amazonaws.com,deny
cwrmm,ip,34.235.68.88/32,deny
cwrmm,ip,44.195.98.227/32,deny
cwrmm,ip,52.5.231.75/32,deny
cwrmm,ip,52.6.119.190/32,deny
cwrmm,ip,52.211.103.209/32,deny
cwrmm,ip,54.220.251.226/32,deny
cwrmm,ip,4.155.17.21/32,deny
cwrmm,ip,13.236.199.94/32,deny
cwrmm,ip,13.55.107.127/32,deny
cwrmm,ip,3.25.6.176/32,deny
cwc,domain,screenconnect.com,deny
connectwise,ip,204.124.219.0/24,deny
connectwise,ip,173.241.194.144/29,deny
connectwise,ip,38.32.203.0/29,deny
connectwise,ip,208.38.129.0/28,deny
connectwise,ip,38.104.150.84/31,deny
connectwise,ip,220.245.124.240/28,deny
connectwise,ip,119.225.1.120/29,deny
connectwise,ip,199.120.80.176/28,deny
connectwise,ip,166.166.228.36/30,deny
connectwise,ip,167.98.172.96/29,deny
connectwise,ip,167.98.220.208/29,deny
connectwise,ip,14.141.198.192/28,deny
connectwise,ip,14.141.10.21/29,deny
connectwise,ip,125.22.49.112/28,deny
connectwise,ip,136.233.252.64/29,deny
connectwise,ip,49.248.136.112/29,deny
connectwise,ip,38.104.255.24/29,deny
connectwise,ip,58.69.30.112/29,deny
connectwise,ip,203.177.130.136/29,deny
connectwise,ip,14.98.146.40/29,deny
connectwise,ip,106.51.250.64/29,deny
connectwise,ip,3.85.66.219,deny
connectwise,ip,3.86.172.36,deny
connectwise,ip,54.204.203.23,deny
connectwise,ip,44.209.105.78,deny
connectwise,ip,54.88.177.178,deny
connectwise,ip,54.165.11.207,deny
connectwise,ip,44.193.140.228,deny
connectwise,ip,3.221.82.104,deny
connectwise,ip,44.208.67.133,deny
cwmanage,ip,54.209.61.112,deny
cwmanage,ip,54.209.61.119,deny
cwmanage,ip,54.209.61.135,deny
cwmanage,ip,54.246.188.80,deny
cwmanage,ip,54.246.214.108,deny
cwmanage,ip,54.77.112.225,deny
cwmanage,ip,54.252.131.183,deny
cwmanage,ip,52.62.231.53,deny
cwmanage,ip,3.85.66.249,deny
cwmanage,ip,54.204.203.23,deny
cwmanage,ip,3.86.172.36,deny
cwmanage,ip,13.237.122.70,deny
cwmanage,ip,54.79.36.121,deny
cwmanage,ip,13.236.13.45,deny
cwmanage,ip,63.34.128.186,deny
cwmanage,ip,63.33.19.109,deny
cwmanage,ip,63.33.19.109,deny
cwsocnoc,ip,14.141.10.216/29,deny
cwsocnoc,ip,125.22.49.112/28,deny
cwsocnoc,ip,136.233.252.64/29,deny
cwsocnoc,ip,49.248.136.112/29,deny
cwsocnoc,ip,14.98.146.40/29,deny
cwsocnoc,ip,106.51.250.64/29,deny
cwsocnoc,ip,38.32.203.8/29,deny
cwsocnoc,ip,208.38.129.0/28,deny
cwsocnoc,ip,199.120.80.176/28,deny
cwsocnoc,ip,166.166.228.36/24,deny
cwsocnoc,ip,96.81.108.124/29,deny
cwsocnoc,ip,203.190.71.221/29,deny
cwsocnoc,ip,203.190.71.229/28,deny
cwsocnoc,ip,72.23.47.54/29,deny
cwsocnoc,ip,204.124.219.0/24,deny
cwsocnoc,ip,8.25.14.0/24,deny
cwsocnoc,ip,38.142.226.96/24,deny
cwsocnoc,ip,58.69.30.112/29,deny
cwsocnoc,ip,113.19.1.160/69,deny
cwlightsout,ip,14.141.10.220/32,deny
cwlightsout,ip,64.58.243.32/28,deny
cwlightsout,ip,124.124.246.134/32,deny
cwlightsout,ip,125.22.49.114/32,deny
cwlightsout,ip,125.22.49.114/32,deny
cwlightsout,ip,114.143.237.210/29,deny
cwlightsout,ip,49.248.136.114/32,deny
logmein,domain,logmein.com,deny
logmein,domain,internapcdn.net,deny
datto,domain,centrastage.net,deny
datto,domain,rmm.datto.com,deny
gotoresolve,domain,gotoresolve.com,deny
gotoresolve,domain,helpdesk.me,deny
gotoresolve,domain,logmeininc.com,deny
gotoresolve,domain,getgo.com,deny
gotoresolve,domain,logmein.eu,deny
gotoresolve,domain,segment.com,deny
gotoresolve,domain,pendo.io,deny
gotoresolve,domain,sentry-cnd.com,deny
gotoresolve,domain,pusherapp.com,deny
gotoresolve,domain,pusher.com,deny
kaseyavsa,domain,sg.cloud.kaseya.net,deny
level,domain,level.io,deny
level,domain,agents.level.io,deny
level,domain,builds.level.io,deny
level,domain,downloads.level.io,deny
mermmcentral,domain,patchquest.com,deny
mermmcentral,domain,sync.patchquest.com,deny
mermmcentral,domain,patchdb.manageengine.com,deny
mermmcentral,domain,manageengine.com,deny
zohoassist,domain,zoho.com,deny
zohoassist,domain,zohoassist.com,deny
msp360rmm,domain,mspbackups.com,deny
msp360rmm,domain,msp360.com,deny
msp360rmm,domain,cloudberrylab.com,deny
msp360rmm,ip,52.5.40.159,deny
msp360rmm,ip,54.243.221.133,deny
msp360rmm,ip,52.20.40.101,deny
msp360rmm,ip,52.6.7.137,deny
msp360rmm,ip,3.216.171.162,deny
msp360rmm,ip,3.216.236.203,deny
msp360rmm,ip,18.197.126.202,deny
msp360rmm,ip,13.236.247.175,deny
nablensight,domain,dg5bj97jvb67q.cloudfront.net,deny
nablensight,domain,remote.management,deny
nablensight,domain,logicnow.com,deny
nablensight,domain,logicnow.us,deny
nablensight,domain,systemmonitor.eu.com,deny
nablensight,domain,systemmonitor.co.uk,deny
nablensight,domain,systemmonitor.us,deny
nablensight,domain,rm-downloads.logicnow.com,deny
nablensight,domain,rm-downloads-us.logicnow.com,deny
nablensight,domain,rm-downloads-apac.logicnow.com,deny
nablensight,domain,system-monitor.com,deny
nablensight,domain,checks-api.us.system-monitor.com,deny
nablensight,domain,checks-api.apac.system-monitor.com,deny
nablensight,domain,checks-api.emea.system-monitor.com,deny
nablensight,domain,cannonball-us-west-2-push.logicnow.us,deny
nablensight,domain,cannonball-ap-southeast-2-push.logicnow.us,deny
nablensight,domain,cannonball-eu-west-1-push.logicnow.us,deny
nablensight,domain,anz-master.rbm.system-monitor.com,deny
nablensight,domain,emea-master.rbm.system-monitor.com,deny
nablensight,domain,us-master.rbm.system-monitor.com,deny
nablensight,domain,dashboard.am.remote.management,deny
nablensight,domain,dashboardasia.system-monitor.com,deny
nablensight,domain,dashboard.system-monitor.com,deny
nablensight,domain,dashboardeurope1.systemmonitor.eu.com,deny
nablensight,domain,dashboardfrance1.systemmonitor.eu.com,deny
nablensight,domain,dashboardfrance.systemmonitor.eu.com,deny
nablensight,domain,dashboardgermany1.systemmonitor.eu.com,deny
nablensight,domain,dashboardireland.systemmonitor.eu.com,deny
nablensight,domain,dashboardpoland1.systemmonitor.eu.com,deny
nablensight,domain,dashboard.systemmonitor.co.uk,deny
nablensight,domain,dashboard.systemmonitor.us,deny
nablensight,domain,navigatorlogin.com,deny
nablensight,domain,avery-us-west-2-svc.logicnow.us,deny
nablensight,domain,avery-us-west-2-cdn.logicnow.us,deny
nablensight,domain,avery-ap-southeast-2-svc.logicnow.us,deny
nablensight,domain,avery-ap-southeast-2-cdn.logicnow.us,deny
nablensight,domain,avery-eu-west-1-svc.logicnow.us,deny
nablensight,domain,avery-eu-west-1-cdn.logicnow.us,deny
nablensight,domain,avery-eu-central-1-svc.logicnow.us,deny
nablensight,domain,avery-eu-central-1-cdn.logicnow.us,deny
nabletakecontrol,domain,smpa.n-able.com,deny
nabletakecontrol,domain,swi-rc.cdn-sw.net,deny
nablencentral,domain,send.n-able.com,deny
nablencentral,domain,sis.n-able.com,deny
nablencentral,domain,update.n-able.com,deny
nablencentral,domain,feeds.n-able.com,deny
nablencentral,domain,servermetrics.n-able.com,deny
nablencentral,domain,licensing.n-able.com,deny
nablencentral,domain,push.n-able.com,deny
nablencentral,domain,scep.n-able.com,deny
nablencentral,domain,keybox.n-able.com,deny
nablencentral,domain,keybox.solarwindsmsp.com,deny
nablencentral,domain,n-able.com,deny
naverisk,domain,naverisk.com,deny
optitune,domain,manage.opti-tune.com,deny
optitune,domain,bravurasoftware.com,deny
optitune,domain,startup.opti-tune.com,deny
optitune,domain,opti-tune.com,deny
panorama9,domain,trusted.panorama9.com,deny
panorama9,domain,changes.panorama9.com,deny
panorama9,domain,dashboard.panorama9.com,deny
pulseway,domain,pulseway.com,deny
pulseway,ip,69.65.50.9,deny
pulseway,ip,69.65.50.11,deny
pulseway,ip,69.65.50.13,deny
pulseway,ip,69.65.50.15,deny
pulseway,ip,69.65.50.20,deny
pulseway,ip,69.65.50.21,deny
pulseway,ip,69.65.50.22,deny
pulseway,ip,69.65.50.23,deny
pulseway,ip,69.65.50.4,deny
pulseway,ip,69.65.50.5,deny
pulseway,ip,69.65.50.6,deny
pulseway,ip,69.65.47.163,deny
pulseway,ip,69.65.47.165,deny
pulseway,ip,109.233.52.232,deny
pulseway,ip,109.233.52.231,deny
pulsewayrd,ip,3.222.39.148,deny
pulsewayrd,ip,13.237.174.172,deny
pulsewayrd,ip,99.81.62.236,deny
pulsewayrd,ip,18.185.3.44,deny
pulsewayrd,ip,54.176.91.130,deny
pulsewayrd,ip,3.135.44.68,deny
superops,domain,superops.ai,deny
syncro,domain,app.kabuto.io,deny
syncro,domain,syncromsp.com,deny
syncro,domain,syncroapi.com,deny
syncro,domain,kabutoservices.com,deny
syncro,domain,id.aurelius.host,deny
syncro,domain,attachments.servably.com,deny
synco,domain,rmm.syncromsp.com,deny
splashtop,domain,api.splashtop.com,deny
splashtop,domain,relay.splashtop.com,deny
